2058 SS 10 CRYSTAL AB F,Default Category/RHINESTONES evoli/evoli 2058 Rose Non Hotfix,1440,,0.0354
2200 4.0X 2.0 CRYSTAL F,Default Category/RHINESTONES evoli/evoli 2200 Navette,720,,0.1182
2400 2.2 CRYSTAL F,Default Category/RHINESTONES evoli/evoli 2400 Square,1440,,0.0695
2419 4.0X 4.0 CRYSTAL F,Default Category/RHINESTONES evoli/evoli 2419 Square Spike,144,,0.3163
2711 3.3 CRYSTAL F,Default Category/RHINESTONES evoli/evoli 2711 Triangle,720,,0.139
A310 10.0 CRYSTAL S,Default Category/evoli BASIC SEW-ON STONES/A310 Round,144,,0.19
2080/4 SS 10 CRYSTAL ROSALINE PEARL,Default Category/RHINESTONES evoli/evoli 2080\/4 Cabochon,1440,,0.0282
